SITE CODE= 67016ó÷ìáésñÂëOí¨ëñèo        ,37.4962,137.2705,15.86,7.6,45292.67387,8.93,15.21
 LAT.=   37.2871,,,,,,,
 LON.=  136.7680,,,,,,,
 SAMPLING RATE= 100Hz,,,,,,,
 UNIT  = gal(cm/s/s),,,,,,,
INITIAL TIME = 2024 01 01 16 10 10,,,,,,,
 NS,EW,UD,,,,,
0.001,-0.026,-0.007,,,,,
0.003,-0.022,-0.007,,,,,
0.003,-0.022,-0.012,,,,,
0.007,-0.024,-0.017,,,,,
0.009,-0.021,-0.014,,,,,
0.008,-0.019,-0.005,,,,,
0.009,-0.021,0,,,,,
0.012,-0.019,-0.003,,,,,
0.014,-0.013,-0.01,,,,,
0.016,-0.012,-0.009,,,,,
0.017,-0.018,-0.004,,,,,
0.018,-0.022,-0.007,,,,,
0.019,-0.021,-0.013,,,,,
0.015,-0.02,-0.01,,,,,
0.008,-0.022,-0.008,,,,,
0.01,-0.023,-0.011,,,,,
0.021,-0.016,-0.006,,,,,
0.026,-0.011,-0.001,,,,,
0.024,-0.015,-0.004,,,,,
0.023,-0.015,-0.007,,,,,
0.026,-0.007,-0.01,,,,,
0.03,-0.004,-0.017,,,,,
0.028,-0.003,-0.012,,,,,
0.025,-0.006,-0.001,,,,,
0.025,-0.01,-0.005,,,,,
0.021,-0.003,-0.017,,,,,
0.018,0.008,-0.02,,,,,
0.024,0.01,-0.017,,,,,
0.025,0.007,-0.012,,,,,
0.019,0.007,-0.007,,,,,
0.018,0.012,-0.011,,,,,
0.014,0.015,-0.011,,,,,
0.006,0.02,-0.004,,,,,
0.008,0.026,-0.004,,,,,
0.013,0.025,-0.008,,,,,
0.007,0.021,-0.008,,,,,
0.001,0.023,-0.009,,,,,
0.003,0.027,-0.008,,,,,
0.004,0.031,-0.006,,,,,
0,0.029,-0.007,,,,,
-0.005,0.026,-0.005,,,,,
-0.011,0.03,0,,,,,
-0.011,0.032,-0.001,,,,,
-0.006,0.03,-0.003,,,,,
-0.003,0.028,-0.002,,,,,
-0.001,0.024,-0.002,,,,,
0,0.022,-0.006,,,,,
-0.004,0.027,-0.014,,,,,
-0.006,0.027,-0.016,,,,,
-0.007,0.026,-0.008,,,,,
-0.005,0.026,-0.002,,,,,
-0.002,0.017,0.002,,,,,
-0.001,0.013,0.001,,,,,
0.001,0.021,-0.005,,,,,
0.003,0.024,-0.008,,,,,
0.004,0.018,-0.006,,,,,
0.002,0.017,-0.005,,,,,
0.001,0.022,-0.007,,,,,
0.003,0.02,-0.007,,,,,
0.004,0.014,-0.005,,,,,
0.003,0.012,-0.004,,,,,
-0.001,0.011,-0.007,,,,,
-0.007,0.013,-0.013,,,,,
-0.006,0.017,-0.012,,,,,
0.001,0.019,-0.008,,,,,
0.004,0.02,-0.005,,,,,
0.005,0.017,-0.001,,,,,
0.012,0.009,0.001,,,,,
0.013,0.01,-0.001,,,,,
0.013,0.015,-0.008,,,,,
0.02,0.011,-0.014,,,,,
